id,ON STREET NAME,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 3,NUMBER OF CYCLIST INJURED,LONGITUDE,OFF STREET NAME,VEHICLE TYPE CODE 4,LATITUDE,LOCATION,VEHICLE TYPE CODE 1,NUMBER OF MOTORIST INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 2,NUMBER OF PEDESTRIANS KILLED,CROSS STREET NAME,NUMBER OF PERSONS INJURED,VEHICLE TYPE CODE 2,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,ZIP CODE,VEHICLE TYPE CODE 3,NUMBER OF CYCLIST KILLED,DATE,UNIQUE KEY,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 5,TIME,NUMBER OF PEDESTRIANS INJURED
135872,MALTA STREET,0,,0,-73.8938187,,,40.6570355,"(40.6570355, -73.8938187)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,DE WITT AVENUE,1,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11207.0,,0,03/18/2016,3418685,,,08:15:00,0
135891,,0,,1,-73.91067690000001,239 DUMONT AVENUE,,40.6638953,"(40.6638953, -73.9106769)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,1,BICYCLE,BROOKLYN,Failure to Yield Right-of-Way,11212.0,,0,03/18/2016,3418531,,,08:30:00,0
135903,PITNEY AVENUE,0,,0,-74.2199603,,,40.5302398,"(40.5302398, -74.2199603)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,GAYNOR STREET,0,,STATEN ISLAND,Lost Consciousness,10309.0,,0,03/18/2016,3430848,,,08:50:00,0
135939,HUBERT STREET,0,,0,-74.0083444,,,40.721322799999996,"(40.7213228, -74.0083444)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,HUDSON STREET,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10013.0,,0,03/18/2016,3405241,,,09:00:00,0
135945,QUEENS BOULEVARD,0,,0,-73.8314588,,,40.7145547,"(40.7145547, -73.8314588)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,78 CRESCENT,0,PASSENGER VEHICLE,QUEENS,Lost Consciousness,11375.0,,0,03/18/2016,3427827,,,09:30:00,0
136056,AMSTERDAM AVENUE,0,Failure to Yield Right-of-Way,0,-73.9499229,,,40.8220716,"(40.8220716, -73.9499229)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,WEST 140 STREET,1,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10031.0,PASSENGER VEHICLE,0,03/18/2016,3410014,,,09:30:00,0
136407,EAST 33 STREET,0,,0,-73.9818325,,,40.746417,"(40.746417, -73.9818325)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,PARK AVENUE,0,SMALL COM VEH(4 TIRES),MANHATTAN,Lost Consciousness,10016.0,,0,03/18/2016,3407173,,,09:43:00,0
136408,CASTLE HILL AVENUE,0,,0,-73.8493615,,,40.824734299999996,"(40.8247343, -73.8493615)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,HERMANY AVENUE,1,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10473.0,,0,03/18/2016,3411746,,,09:43:00,0
136449,KINGSTON AVENUE,0,,1,-73.94219709999999,,,40.6694023,"(40.6694023, -73.9421971)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,EASTERN PARKWAY,1,BICYCLE,BROOKLYN,Failure to Yield Right-of-Way,11213.0,,0,03/17/2016,3417637,,,00:35:00,0
136488,DUMONT AVENUE,0,,0,-73.8954083,,,40.666152399999994,"(40.6661524, -73.8954083)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,SHEFFIELD AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11207.0,,0,03/17/2016,3418566,,,10:55:00,0
136493,BEACH 22 STREET,0,,0,-73.7539979,,,40.604782799999995,"(40.6047828, -73.7539979)",PASSENGER VEHICLE,0,0,,,0,MOTT AVENUE,1,,QUEENS,Failure to Yield Right-of-Way,11691.0,,0,03/17/2016,3422030,,,11:00:00,1
137546,202 STREET,0,,0,-73.77993590000001,,,40.7551698,"(40.7551698, -73.7799359)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,46 AVENUE,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11361.0,,0,04/09/2016,3427544,,,16:20:00,0
138038,SULLIVAN STREET,0,,0,-73.9997763,,,40.7295574,"(40.7295574, -73.9997763)",OTHER,0,0,,Lost Consciousness,0,,0,OTHER,,Lost Consciousness,,,0,03/17/2016,3406017,,,14:13:00,0
138151,AVENUE I,0,,0,-73.97092070000002,,,40.6265698,"(40.6265698, -73.9709207)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,OCEAN PARKWAY,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11230.0,,0,03/17/2016,3415839,,,14:45:00,0
138159,QUEENS BOULEVARD,0,,0,-73.8720247,,,40.7339657,"(40.7339657, -73.8720247)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,90 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11373.0,,0,03/17/2016,3426864,,,15:30:00,0
138676,,0,,0,-73.9323782,117 MORGAN AVENUE,,40.707906099999995,"(40.7079061, -73.9323782)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11237.0,,0,03/17/2016,3421263,,,16:10:00,0
138677,,0,,0,-73.9181238,272 SHERMAN AVENUE,,40.866493,"(40.866493, -73.9181238)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,,2,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10034.0,,0,03/17/2016,3410698,,,16:10:00,0
138953,MADISON AVE,0,,0,-73.9485565,,,40.7949092,"(40.7949092, -73.9485565)",PASSENGER VEHICLE,0,0,,,0,EAST 108 STREET,1,,MANHATTAN,Failure to Yield Right-of-Way,10029.0,,0,03/17/2016,3409377,,,16:15:00,1
139183,WOODHAVEN BOULEVARD,0,,0,-73.86357009999998,,,40.71827800000001,"(40.718278, -73.8635701)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,66 AVENUE,0,PASSENGER VEHICLE,QUEENS,Lost Consciousness,11374.0,,0,03/17/2016,3427867,,,19:00:00,0
139184,WEST 149 STREET,0,,1,-73.94574870000002,,,40.827776,"(40.827776, -73.9457487)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,AMSTERDAM AVENUE,1,BICYCLE,MANHATTAN,Failure to Yield Right-of-Way,10031.0,,0,03/17/2016,3410210,,,19:00:00,0
139281,WEST 41 STREET,0,,0,-73.9930696,,,40.75782810000001,"(40.7578281, -73.9930696)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,9 AVENUE,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10036.0,,0,03/17/2016,3406474,,,19:14:00,0
139885,WASHINGTON AVENUE,0,,0,-73.899349,,,40.8447373,"(40.8447373, -73.899349)",PASSENGER VEHICLE,0,0,,,0,EAST 175 STREET,1,,BRONX,Failure to Yield Right-of-Way,10457.0,,0,03/17/2016,3413569,,,20:00:00,1
139894,RICHMOND AVENUE,0,,0,-74.1694734,,,40.5591268,"(40.5591268, -74.1694734)",PASSENGER VEHICLE,0,0,,,0,GURLEY AVENUE,1,,STATEN ISLAND,Failure to Yield Right-of-Way,10312.0,,0,03/17/2016,3430395,,,20:00:00,1
141098,18 AVENUE,0,,0,-73.9889918,,,40.620303899999996,"(40.6203039, -73.9889918)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,63 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11204.0,,0,03/17/2016,3415131,,,22:30:00,0
141109,SKILLMAN AVENUE,0,,0,-73.93769590000002,,,40.7452378,"(40.7452378, -73.9376959)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,THOMSON AVENUE,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11101.0,,0,03/17/2016,3425548,,,04:55:00,0
141166,7 AVENUE,0,,0,-73.97546750000002,,,40.674467299999996,"(40.6744673, -73.9754675)",PASSENGER VEHICLE,0,0,,Unspecified,0,UNION STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11215.0,,0,11/22/2016,3565510,,,12:11:00,0
141176,188 STREET,0,,0,-73.7875927,,,40.7193749,"(40.7193749, -73.7875927)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,,Failure to Yield Right-of-Way,,,0,03/17/2016,3425017,,,06:45:00,0
143117,UTICA AVENUE,0,,0,-73.9310327,,,40.6697365,"(40.6697365, -73.9310327)",PASSENGER VEHICLE,0,0,,,0,LINCOLN PLACE,1,,BROOKLYN,Failure to Yield Right-of-Way,11213.0,,0,03/17/2016,3419449,,,07:30:00,1
145416,,0,,0,-73.8263754,,,40.7183973,"(40.7183973, -73.8263754)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,,,Lost Consciousness,,,0,03/17/2016,3427812,,,08:18:00,0
145808,WEBSTER AVENUE,0,,0,-73.8635575,,,40.8953759,"(40.8953759, -73.8635575)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,EAST 233 STREET,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10470.0,,0,03/17/2016,3413109,,,08:20:00,0
145832,63 DRIVE,0,,0,-73.8628476,,,40.7293028,"(40.7293028, -73.8628476)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,SAUNDERS STREET,0,PASSENGER VEHICLE,QUEENS,Lost Consciousness,11374.0,,0,03/17/2016,3427807,,,08:20:00,0
146797,DRIGGS AVENUE,0,,0,-73.9440842,,,40.723096399999996,"(40.7230964, -73.9440842)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,RUSSELL STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11222.0,,0,03/17/2016,3421644,,,08:25:00,0
147565,AUSTIN STREET,0,,0,-73.84807629999997,,,40.7213656,"(40.7213656, -73.8480763)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,69 ROAD,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11375.0,,0,03/17/2016,3427809,,,08:52:00,0
147592,5 AVENUE,0,,0,-73.96704090000001,,,40.772461299999996,"(40.7724613, -73.9670409)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,EAST 72 STREET,0,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10021.0,,0,03/17/2016,3408479,,,08:55:00,0
149537,JEFFERSON AVENUE,0,,0,-73.9440377,,,40.683972499999996,"(40.6839725, -73.9440377)",PASSENGER VEHICLE,0,0,,,0,TOMPKINS AVENUE,0,,BROOKLYN,Lost Consciousness,11216.0,,0,03/17/2016,3419993,,,09:05:00,0
155750,AVENUE P,0,,0,-73.9642976,,,40.609775299999995,"(40.6097753, -73.9642976)",PASSENGER VEHICLE,0,0,,,0,EAST 9 STREET,1,,BROOKLYN,Failure to Yield Right-of-Way,11223.0,,0,01/08/2016,3367121,,,10:20:00,1
157976,BEDFORD AVENUE,0,,0,-73.9546652,,,40.6441971,"(40.6441971, -73.9546652)",MOTORCYCLE,0,0,,Failure to Yield Right-of-Way,0,CORTELYOU ROAD,0,,BROOKLYN,Failure to Yield Right-of-Way,11226.0,,0,03/16/2016,3416253,,,10:45:00,0
157977,,0,,0,-74.009112,5914 8 AVENUE,,40.6359356,"(40.6359356, -74.009112)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11220.0,,0,03/16/2016,3417918,,,10:50:00,0
158420,MC DONALD AVENUE,0,,0,-73.9744443,,,40.616420399999996,"(40.6164204, -73.9744443)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,AVENUE M,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11230.0,,0,03/16/2016,3415835,,,12:35:00,0
158424,AVENUE U,0,,0,-73.9545122,,,40.599037,"(40.599037, -73.9545122)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,EAST 17 STREET,0,,BROOKLYN,Failure to Yield Right-of-Way,11229.0,,0,03/16/2016,3414729,,,12:45:00,0
158425,,0,,0,-73.9929982,54 ELDRIDGE STREET,,40.7161106,"(40.7161106, -73.9929982)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10002.0,,0,03/16/2016,3405623,,,12:45:00,0
158500,BATH AVENUE,0,,0,-73.99384620000002,,,40.5961418,"(40.5961418, -73.9938462)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,BAY 35 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,03/16/2016,3415119,,,13:00:00,0
158953,AVENUE Y,0,,0,-73.9402012,,,40.591685299999995,"(40.5916853, -73.9402012)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,NOSTRAND AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11235.0,,0,03/16/2016,3414734,,,13:30:00,0
159039,WESTCHESTER AVENUE,0,,0,-73.870903,,,40.830562799999996,"(40.8305628, -73.870903)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,CROES AVENUE,1,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10472.0,,0,03/16/2016,3411753,,,13:30:00,0
159375,FRANCIS LEWIS BOULEVARD,0,,0,-73.72672740000002,,,40.6897371,"(40.6897371, -73.7267274)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,,1,PASSENGER VEHICLE,,Failure to Yield Right-of-Way,,,0,03/16/2016,3423649,,,15:10:00,0
159376,PROSPECT PLACE,0,,0,-73.97350829999998,,,40.678639000000004,"(40.678639, -73.9735083)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,FLATBUSH AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11217.0,,0,03/16/2016,3419716,,,15:15:00,0
159701,AVENUE P,0,,0,-73.97299579999998,,,40.6088143,"(40.6088143, -73.9729958)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,MC DONALD AVENUE,0,,BROOKLYN,Lost Consciousness,11223.0,,0,03/16/2016,3414737,,,15:30:00,0
159703,EAST 45 STREET,0,,0,-73.9778743,,,40.7547274,"(40.7547274, -73.9778743)",PASSENGER VEHICLE,0,0,,,0,MADISON AVENUE,1,,MANHATTAN,Failure to Yield Right-of-Way,10017.0,,0,03/16/2016,3407248,,,15:30:00,1
159706,EAST 132 STREET,0,,0,-73.93740759999999,,,40.8101754,"(40.8101754, -73.9374076)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,MADISON AVENUE,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10037.0,,0,03/16/2016,3409689,,,15:40:00,0
159743,WEST 116 STREET,0,,0,-73.95253050000002,,,40.8032165,"(40.8032165, -73.9525305)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,7 AVENUE,0,OTHER,MANHATTAN,Lost Consciousness,10026.0,,0,04/06/2016,3410162,,,15:50:00,0
160437,,0,,0,-73.908436,103 COOPER STREET,,40.6866889,"(40.6866889, -73.908436)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11207.0,,0,03/16/2016,3420416,,,17:30:00,0
160629,KENT AVENUE,0,,0,-73.96103259999998,,,40.6994847,"(40.6994847, -73.9610326)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,RUTLEDGE STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11249.0,,0,03/16/2016,3421265,,,17:50:00,0
160632,21 STREET,0,,0,-73.949232,,,40.7425234,"(40.7425234, -73.949232)",PASSENGER VEHICLE,2,0,,Failure to Yield Right-of-Way,0,49 AVENUE,2,,QUEENS,Failure to Yield Right-of-Way,11101.0,,0,03/16/2016,3425664,,,17:52:00,0
160635,HERKIMER STREET,0,,0,-73.9217116,,,40.6781158,"(40.6781158, -73.9217116)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,RALPH AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11233.0,,0,03/16/2016,3420243,,,17:59:00,0
160736,LOMBARDY STREET,0,,0,-73.9355882,,,40.7229904,"(40.7229904, -73.9355882)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,PORTER AVENUE,0,,BROOKLYN,Lost Consciousness,11222.0,,0,03/16/2016,3421648,,,18:10:00,0
160751,EAST 10 STREET,0,,0,-73.9633719,,,40.609879299999996,"(40.6098793, -73.9633719)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,AVENUE P,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11223.0,,0,03/16/2016,3414738,,,18:25:00,0
160757,10 AVENUE,0,,0,-74.0059583,,,40.7452298,"(40.7452298, -74.0059583)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,WEST 19 STREET,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10011.0,,0,03/16/2016,3406453,,,18:26:00,0
160837,ATLANTIC AVENUE,0,,0,-73.9675328,,,40.68176920000001,"(40.6817692, -73.9675328)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,VANDERBILT AVENUE,0,,BROOKLYN,Failure to Yield Right-of-Way,11238.0,,0,03/16/2016,3421038,,,19:20:00,0
160911,RIDGE BOULEVARD,0,,0,-74.0325559,,,40.627010799999994,"(40.6270108, -74.0325559)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,82 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11209.0,,0,03/16/2016,3416640,,,19:25:00,0
161146,WYTHE AVENUE,0,,0,-73.96086209999999,,,40.7011315,"(40.7011315, -73.9608621)",PASSENGER VEHICLE,0,0,,,0,WILLIAMSBURG STREET EAST,1,,BROOKLYN,Failure to Yield Right-of-Way,11249.0,,0,03/16/2016,3421253,,,20:47:00,1
161223,OCEAN AVENUE,0,,0,-73.9618804,,,40.6548824,"(40.6548824, -73.9618804)",MOTORCYCLE,0,0,,Lost Consciousness,0,PARKSIDE AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11226.0,,0,03/16/2016,3417636,,,21:00:00,0
161271,AVENUE J,0,,0,-73.945876,,,40.6268874,"(40.6268874, -73.945876)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,EAST 31 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11210.0,,0,03/16/2016,3415490,,,21:10:00,0
161401,,0,,0,-73.9038929,1355 ROCKAWAY PARKWAY,,40.646562100000004,"(40.6465621, -73.9038929)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11236.0,,0,03/16/2016,3417018,,,22:00:00,0
161661,HILLSIDE TERRACE,0,,0,-74.14464709999999,,,40.5468146,"(40.5468146, -74.1446471)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,DURANT AVENUE,0,PASSENGER VEHICLE,STATEN ISLAND,Failure to Yield Right-of-Way,10308.0,,0,03/16/2016,3430376,,,07:10:00,0
161974,EAST 18 STREET,0,,0,-73.96174690000002,,,40.642423799999996,"(40.6424238, -73.9617469)",PASSENGER VEHICLE,0,0,,,0,CORTELYOU ROAD,2,,BROOKLYN,Failure to Yield Right-of-Way,11226.0,,0,03/16/2016,3417256,,,08:15:00,2
161984,HAZEN STREET,0,,0,-73.8928888,,,40.7738078,"(40.7738078, -73.8928888)",PASSENGER VEHICLE,2,0,,Failure to Yield Right-of-Way,0,19 AVENUE,2,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11370.0,,0,03/16/2016,3428698,,,08:20:00,0
162002,,0,,0,-73.95607790000003,1342 AMSTERDAM AVENUE,,40.8136506,"(40.8136506, -73.9560779)",OTHER,0,0,,Lost Consciousness,0,,0,SMALL COM VEH(4 TIRES),MANHATTAN,Lost Consciousness,10027.0,,0,03/16/2016,3410012,,,08:30:00,0
162101,62 DRIVE,0,,0,-73.85546550000002,,,40.7343194,"(40.7343194, -73.8554655)",SPORT UTILITY / STATION WAGON,0,0,,,0,102 STREET,1,,QUEENS,Failure to Yield Right-of-Way,11375.0,,0,11/22/2016,3566065,,,12:11:00,1
162105,QUEENS BOULEVARD,0,,0,-73.9075049,,,40.7418634,"(40.7418634, -73.9075049)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,58 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11377.0,,0,03/16/2016,3425840,,,08:30:00,0
162227,14 AVENUE,0,,0,-74.01108620000002,,,40.6133403,"(40.6133403, -74.0110862)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,85 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11228.0,,0,03/16/2016,3416622,,,09:30:00,0
162250,SEWARD AVENUE,0,,0,-73.73693420000002,,,40.7356275,"(40.7356275, -73.7369342)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,234 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11427.0,,0,03/16/2016,3423624,,,09:30:00,0
162438,86 STREET,0,,0,-74.0012065,,,40.606385499999995,"(40.6063855, -74.0012065)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,BAY 20 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,04/04/2016,3415298,,,14:30:00,0
162450,SOUTH CONDUIT AVENUE,0,,0,-73.7439268,,,40.665341299999994,"(40.6653413, -73.7439268)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,232 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11413.0,,0,03/15/2016,3423609,,,10:30:00,0
162789,18 AVENUE,0,,0,-73.977166,,,40.6307461,"(40.6307461, -73.977166)",UNKNOWN,0,0,,,0,MC DONALD AVENUE,1,,BROOKLYN,Failure to Yield Right-of-Way,11204.0,,0,01/05/2016,3365331,,,14:55:00,1
162943,,0,,0,-73.75898520000001,215-16 73 AVENUE,,40.7405999,"(40.7405999, -73.7589852)",PASSENGER VEHICLE,0,0,,,0,,0,,QUEENS,Failure to Yield Right-of-Way,11364.0,,0,03/15/2016,3427267,,,12:00:00,0
162964,,0,,0,-73.98453070000002,2630      86 STREET,,40.5963001,"(40.5963001, -73.9845307)",SPORT UTILITY / STATION WAGON,0,0,,Unspecified,0,,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11223.0,,0,11/27/2016,3567933,,,10:11:00,0
162965,,0,,0,-73.971804,338       FLATBUSH AVENUE,,40.676261600000004,"(40.6762616, -73.971804)",SPORT UTILITY / STATION WAGON,0,0,,Unspecified,0,,0,SPORT UTILITY / STATION WAGON,BROOKLYN,Failure to Yield Right-of-Way,11238.0,,0,11/27/2016,3569034,,,10:11:00,0
162982,35 AVENUE,0,,0,-73.8117873,,,40.7661037,"(40.7661037, -73.8117873)",SPORT UTILITY / STATION WAGON,0,0,,Unspecified,0,153 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11354.0,,0,11/27/2016,3568507,,,10:11:00,0
163364,,0,,0,-73.8260291,56-000 MAIN STREET,,40.7480464,"(40.7480464, -73.8260291)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,QUEENS,Lost Consciousness,11355.0,,0,03/15/2016,3426038,,,13:30:00,0
163378,25 AVENUE,0,,0,-73.9116817,,,40.7679637,"(40.7679637, -73.9116817)",PASSENGER VEHICLE,0,0,,Unspecified,0,STEINWAY STREET,0,SPORT UTILITY / STATION WAGON,QUEENS,Lost Consciousness,11103.0,,0,01/05/2016,3366342,,,23:28:00,0
163380,FOSTER AVENUE,0,,0,-73.9501723,,,40.63851079999999,"(40.6385108, -73.9501723)",PASSENGER VEHICLE,0,0,,Unspecified,0,EAST 28 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11210.0,,0,01/05/2016,3385124,,,23:51:00,0
163458,13 AVENUE,0,,0,-73.9915402,,,40.6355816,"(40.6355816, -73.9915402)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,48 STREET,0,,BROOKLYN,Lost Consciousness,11219.0,,0,03/15/2016,3415822,,,15:00:00,0
163461,WEST 25 STREET,0,,0,-73.9891556,,,40.7430309,"(40.7430309, -73.9891556)",VAN,0,0,,Failure to Yield Right-of-Way,0,BROADWAY,0,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10010.0,,0,03/15/2016,3406857,,,15:00:00,0
163493,HOWARD AVENUE,0,,0,-73.9199662,,,40.6694768,"(40.6694768, -73.9199662)",SPORT UTILITY / STATION WAGON,0,0,,Unspecified,0,EASTERN PARKWAY,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11233.0,,0,01/05/2016,3365405,,,08:35:00,0
163508,HINSDALE STREET,0,,0,-73.8966494,,,40.6561186,"(40.6561186, -73.8966494)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,DE WITT AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11207.0,,0,03/15/2016,3418630,,,15:04:00,0
163514,,0,,0,-73.90816290000002,1848 EASTERN PARKWAY,,40.6755312,"(40.6755312, -73.9081629)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11233.0,,0,03/15/2016,3418265,,,15:20:00,0
163556,WEST 28 STREET,0,,0,-74.00188399999998,,,40.7508292,"(40.7508292, -74.001884)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,10 AVENUE,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10001.0,,0,03/15/2016,3406444,,,15:40:00,0
163634,WYTHE AVENUE,0,,0,-73.96049620000002,,,40.7024019,"(40.7024019, -73.9604962)",PASSENGER VEHICLE,1,0,,Lost Consciousness,0,,1,PASSENGER VEHICLE,,Lost Consciousness,,,0,04/03/2016,3421407,,,15:35:00,0
163743,EAST 97 STREET,0,,0,-73.9552819,,,40.7885854,"(40.7885854, -73.9552819)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,5 AVENUE,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10029.0,,0,03/15/2016,3409368,,,16:40:00,0
163946,COLLEGE POINT BOULEVARD,0,,0,-73.8354248,,,40.76210510000001,"(40.7621051, -73.8354248)",PASSENGER VEHICLE,0,0,,Unspecified,0,36 AVENUE,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11354.0,,0,11/27/2016,3568511,,,15:11:00,0
